Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
Uber Go,Indiranagar,Marathahalli,1979.47,12.69
Premier,Cox Town,Malleswaram,0.0,0.0
Premier,Mahadevapura,Banashankari,1601.94,11.65
Moto,Benson Town,Indiranagar,1888.86,4.6
Uber Go,JP Nagar,Kengeri,1828.47,8.92
eBike,Shivaji Nagar,Hulimavu,1512.11,15.24
Uber Go,Mahadevapura,Vijayanagar,1579.66,6.1
Premier,Whitefield,Marathahalli,0.0,0.0
Moto,Yelahanka,Banashankari,0.0,0.0
Go Sedan,Hosur Road,Benson Town,1392.88,13.83
eBike,Anekal,Yelahanka,474.57,10.72
Go Sedan,Marathahalli,Hulimavu,206.35,2.49
Go Sedan,Vidyaranyapura,Bannerghatta Road,0.0,0.0
UberXL,Hosur Road,Malleswaram,0.0,0.0
Premier,HSR Layout,Yeshwanthpur,0.0,0.0
Premier,Lingarajapuram,Ulsoor,0.0,0.0
Uber Go,Hosur Road,Vijayanagar,349.43,16.7
UberXL,Basaveshwaranagar,Basavanagudi,142.37,29.42
Go Sedan,Benson Town,Indiranagar,1907.52,25.6
Premier,Marathahalli,Basaveshwaranagar,758.07,17.99
Premier,Basavanagudi,Anekal,0.0,0.0
Go Sedan,Jayanagar,Hebbal,0.0,0.0
Go Sedan,Rajajinagar,Anekal,581.92,15.56
UberXL,Yelahanka,Bommanahalli,1974.96,25.78
Premier,Indiranagar,Mahadevapura,229.84,15.3
UberXL,Ulsoor,Kudlu Gate,0.0,0.0
Non-AC Taxi,Dasarahalli,Kadugodi,1152.29,21.94
Moto,MG Road,Hulimavu,0.0,0.0
Premier,Kadugodi,Kadugodi,1105.87,14.33
Go Sedan,Yeshwanthpur,Mahadevapura,397.68,20.86
Go Sedan,Marathahalli,Hebbal,1980.16,7.87
Moto,Basaveshwaranagar,Bellandur,1008.32,9.23
Uber Go,Bellandur,JP Nagar,0.0,0.0
Moto,CV Raman Nagar,Rajajinagar,734.66,26.61
Non-AC Taxi,Basavanagudi,Yeshwanthpur,0.0,0.0
Non-AC Taxi,Rajajinagar,Benson Town,0.0,0.0
Uber Go,Shivaji Nagar,Kudlu Gate,1046.75,13.75
Moto,Richmond Town,Benson Town,0.0,0.0
Premier,Yelahanka,Bommanahalli,394.46,26.59
Premier,Koramangala,Basaveshwaranagar,1260.63,25.68
UberXL,Devanahalli,Ulsoor,1035.15,26.57
Non-AC Taxi,Basavanagudi,Kammanahalli,0.0,0.0
eBike,Hebbal,Hebbal,868.79,5.54
UberXL,Domlur,Sarjapur Road,0.0,0.0
Premier,Bommanahalli,Vijayanagar,127.87,26.61
eBike,Hulimavu,KR Puram,483.57,14.31
UberXL,Ulsoor,Kadugodi,797.21,14.71
UberXL,Whitefield,KR Puram,199.7,16.62
Go Sedan,Rajajinagar,Domlur,0.0,0.0
Uber Go,Banashankari,Vidyaranyapura,487.63,13.19
Non-AC Taxi,Shivaji Nagar,Hebbal,1708.1,20.99
Uber Go,Rajajinagar,Bellandur,944.47,25.55
Go Sedan,Hormavu,Kammanahalli,164.73,8.78
Go Sedan,Marathahalli,Richmond Town,1124.27,13.95
Uber Go,Anekal,Basaveshwaranagar,1890.97,19.2
UberXL,Hebbal,Yeshwanthpur,1052.98,9.45
UberXL,Frazer Town,Jayanagar,427.11,20.24
UberXL,Ulsoor,Hormavu,1218.16,23.77
Premier,Jayanagar,Hulimavu,733.41,18.12
Non-AC Taxi,Richmond Town,Bellandur,1639.87,24.73
eBike,Lingarajapuram,Anekal,1740.07,7.91
Go Sedan,Electronic City,Hosur Road,263.38,21.22
Premier,Electronic City,Kudlu Gate,1268.3,27.31
Moto,Ulsoor,Dasarahalli,1493.29,19.11
Non-AC Taxi,Mahadevapura,Hormavu,1666.73,18.42
Go Sedan,Indiranagar,RT Nagar,1503.71,17.97
Premier,Hennur,Benson Town,1025.46,11.28
UberXL,BTM Layout,Vidyaranyapura,1676.08,3.71
Uber Go,Mahadevapura,Vijayanagar,1622.06,26.92
Uber Go,MG Road,RT Nagar,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Yeshwanthpur,966.45,18.22
Moto,Yelahanka,Koramangala,420.67,4.44
UberXL,MG Road,Hulimavu,1398.81,9.27
UberXL,Sarjapur Road,Basavanagudi,1129.44,25.44
Non-AC Taxi,Kammanahalli,Kammanahalli,618.72,11.0
eBike,Dasarahalli,Basaveshwaranagar,465.96,17.28
Moto,Koramangala,Ulsoor,267.07,12.4
Moto,Kengeri,Kammanahalli,0.0,0.0
Premier,KR Puram,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,Kadugodi,Sarjapur Road,1801.54,14.65
Premier,MG Road,HSR Layout,148.57,18.0
Go Sedan,Bommanahalli,Vijayanagar,0.0,0.0
Premier,Jayanagar,Malleswaram,1900.33,3.97
Moto,Kadugodi,BTM Layout,0.0,0.0
Go Sedan,Shivaji Nagar,BTM Layout,747.67,28.62
Uber Go,Kammanahalli,Mahadevapura,0.0,0.0
Premier,Bellandur,Kammanahalli,0.0,0.0
Premier,Ulsoor,Mahadevapura,1692.09,21.4
Premier,Hebbal,Kudlu Gate,962.16,7.04
UberXL,Domlur,BTM Layout,349.2,3.9
UberXL,Bellandur,JP Nagar,0.0,0.0
Go Sedan,Yeshwanthpur,Hulimavu,1271.02,3.26
Non-AC Taxi,Benson Town,Sadashivanagar,1686.13,1.72
Moto,Kammanahalli,Basaveshwaranagar,1267.89,18.67
Premier,Hosur Road,Richmond Town,234.4,19.72
Premier,Dasarahalli,Koramangala,0.0,0.0
Go Sedan,Anekal,Kengeri,0.0,0.0
eBike,Hennur,Vijayanagar,1305.45,6.5
Premier,Dasarahalli,Indiranagar,1623.56,17.33
UberXL,Bommanahalli,Bellandur,0.0,0.0
Non-AC Taxi,Bommanahalli,Shivaji Nagar,1490.11,28.27
Premier,RT Nagar,Dasarahalli,1282.41,12.06
Premier,Electronic City,Domlur,1746.7,9.89
UberXL,MG Road,Bommanahalli,0.0,0.0
Uber Go,MG Road,Koramangala,0.0,0.0
Go Sedan,Varthur,Vijayanagar,254.06,27.96
UberXL,Indiranagar,Yeshwanthpur,1332.9,23.64
UberXL,Indiranagar,Mahadevapura,1456.04,3.86
Premier,Kammanahalli,Basavanagudi,910.38,7.51
Uber Go,Vijayanagar,Whitefield,0.0,0.0
eBike,Rajajinagar,Kudlu Gate,0.0,0.0
Moto,Vidyaranyapura,Hebbal,0.0,0.0
Go Sedan,Bommanahalli,Sarjapur Road,118.6,22.59
Non-AC Taxi,Bellandur,Hulimavu,0.0,0.0
eBike,Rajajinagar,Kudlu Gate,187.91,21.52
UberXL,Devanahalli,Rajajinagar,513.77,26.96
Premier,Anekal,Nagarbhavi,91.7,14.07
eBike,Sarjapur Road,Bannerghatta Road,1991.0,15.02
Uber Go,Nagarbhavi,Malleswaram,0.0,0.0
Go Sedan,Nagarbhavi,Hosur Road,262.63,26.11
Go Sedan,Shivaji Nagar,Nagarbhavi,0.0,0.0
UberXL,Vijayanagar,Hennur,1155.53,26.42
Uber Go,Jayanagar,Hosur Road,1992.05,29.57
Premier,Yelahanka,Vidyaranyapura,1049.27,19.12
Uber Go,Rajajinagar,CV Raman Nagar,758.11,13.22
Non-AC Taxi,HSR Layout,Lingarajapuram,0.0,0.0
UberXL,Magadi Road,MG Road,0.0,0.0
Moto,Frazer Town,Dasarahalli,1852.85,12.48
UberXL,Bellandur,Shivaji Nagar,473.54,18.16
Premier,Vidyaranyapura,Hormavu,1866.37,16.54
Non-AC Taxi,Indiranagar,Hebbal,86.82,12.34
Go Sedan,Richmond Town,Benson Town,1029.43,24.49
Uber Go,Electronic City,Sadashivanagar,0.0,0.0
Premier,Mahadevapura,KR Puram,1936.34,2.11
Non-AC Taxi,Hebbal,Cox Town,0.0,0.0
Go Sedan,Vijayanagar,Indiranagar,1141.65,10.51
eBike,Malleswaram,Yelahanka,0.0,0.0
eBike,Lingarajapuram,Basavanagudi,0.0,0.0
eBike,Indiranagar,Whitefield,0.0,0.0
UberXL,CV Raman Nagar,Whitefield,0.0,0.0
UberXL,Marathahalli,Magadi Road,0.0,0.0
Go Sedan,MG Road,Ulsoor,1879.13,7.18
Moto,Bannerghatta Road,JP Nagar,1830.55,4.63
Uber Go,BTM Layout,Jayanagar,1845.38,12.81
Moto,Vidyaranyapura,Frazer Town,1967.11,25.17
Go Sedan,Mahadevapura,Bommanahalli,1513.24,28.29
eBike,Kammanahalli,Vidyaranyapura,1338.87,25.53
Premier,Ulsoor,Koramangala,0.0,0.0
Go Sedan,KR Puram,KR Puram,0.0,0.0
Moto,RT Nagar,Banashankari,0.0,0.0
Go Sedan,BTM Layout,Richmond Town,328.78,3.2
Non-AC Taxi,Kammanahalli,Cox Town,0.0,0.0
UberXL,Bellandur,Whitefield,1588.12,21.7
Premier,Electronic City,MG Road,0.0,0.0
eBike,Sadashivanagar,Koramangala,1078.53,3.95
Uber Go,Domlur,Richmond Town,1409.38,16.77
Uber Go,Anekal,Marathahalli,0.0,0.0
Go Sedan,Hennur,Magadi Road,317.37,25.43
eBike,Shivaji Nagar,MG Road,1671.97,17.42
eBike,Nagarbhavi,Indiranagar,1506.91,23.73
Moto,Shivaji Nagar,Kadugodi,0.0,0.0
UberXL,Nagarbhavi,Hennur,0.0,0.0
Premier,Basavanagudi,Hennur,0.0,0.0
Non-AC Taxi,KR Puram,Devanahalli,1175.01,13.14
eBike,CV Raman Nagar,Hennur,1204.08,12.72
UberXL,HSR Layout,Vijayanagar,0.0,0.0
Non-AC Taxi,RT Nagar,Basaveshwaranagar,0.0,0.0
Uber Go,Hulimavu,Cox Town,618.01,3.53
Go Sedan,Shivaji Nagar,Varthur,1817.06,21.57
Premier,Vidyaranyapura,Sadashivanagar,792.77,7.88
Go Sedan,Jayanagar,Basavanagudi,118.09,2.44
Uber Go,Lingarajapuram,Banashankari,1406.58,26.52
Premier,Varthur,CV Raman Nagar,1408.84,29.17
Uber Go,Banashankari,Frazer Town,569.3,29.23
Premier,Banashankari,Indiranagar,0.0,0.0
Non-AC Taxi,Bannerghatta Road,Banashankari,293.87,7.65
Non-AC Taxi,Bellandur,Bannerghatta Road,1767.34,8.25
Non-AC Taxi,Kudlu Gate,CV Raman Nagar,1606.43,10.89
Premier,Rajajinagar,Kadugodi,1676.26,4.98
Uber Go,Bommanahalli,Malleswaram,767.85,11.61
Premier,MG Road,CV Raman Nagar,0.0,0.0
Premier,KR Puram,Koramangala,0.0,0.0
Uber Go,Hennur,Marathahalli,0.0,0.0
Go Sedan,Sadashivanagar,Hennur,446.48,12.62
Premier,Devanahalli,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,Bellandur,Yeshwanthpur,461.47,16.52
Moto,Kadugodi,KR Puram,0.0,0.0
Moto,Koramangala,Malleswaram,0.0,0.0
UberXL,Sadashivanagar,Anekal,1824.29,11.88
Premier,Koramangala,Koramangala,0.0,0.0
Moto,Cox Town,Electronic City,668.13,24.83
Non-AC Taxi,Rajajinagar,Kammanahalli,969.44,28.68
Non-AC Taxi,Bommanahalli,Magadi Road,1523.61,11.04
eBike,Lingarajapuram,Cox Town,227.75,14.22
eBike,JP Nagar,Domlur,1292.78,19.34
eBike,Dasarahalli,Indiranagar,1864.29,18.86
eBike,Bommanahalli,Marathahalli,118.3,17.13
UberXL,JP Nagar,Vijayanagar,1019.84,24.07
Non-AC Taxi,Basavanagudi,Marathahalli,833.16,6.32
Non-AC Taxi,Kammanahalli,Hosur Road,0.0,0.0
Premier,Whitefield,Koramangala,1844.23,2.18
UberXL,MG Road,Sadashivanagar,373.62,15.96
Premier,KR Puram,JP Nagar,429.73,23.48
Non-AC Taxi,CV Raman Nagar,Richmond Town,1631.66,8.46
UberXL,Kammanahalli,Frazer Town,135.94,27.74
Go Sedan,Mahadevapura,Varthur,1003.6,10.46
eBike,Bannerghatta Road,Cox Town,436.02,2.4
Premier,Magadi Road,Basavanagudi,1573.59,14.64
UberXL,Domlur,Kudlu Gate,549.44,22.7
Uber Go,Dasarahalli,Devanahalli,638.15,27.31
Uber Go,Devanahalli,Ulsoor,1663.09,3.4
Go Sedan,Dasarahalli,Hennur,1984.26,14.82
Go Sedan,Jayanagar,Yeshwanthpur,318.33,21.75
Moto,Kengeri,Hosur Road,781.26,19.16
UberXL,Kengeri,Malleswaram,1570.16,7.15
Moto,Nagarbhavi,Banashankari,323.61,25.36
eBike,Vidyaranyapura,Frazer Town,0.0,0.0
eBike,RT Nagar,Kammanahalli,827.91,19.75
Moto,HSR Layout,Hosur Road,0.0,0.0
UberXL,Electronic City,RT Nagar,177.93,23.19
UberXL,Cox Town,Sarjapur Road,0.0,0.0
UberXL,Kengeri,Banashankari,0.0,0.0
Moto,Yelahanka,Hosur Road,386.21,4.32
Go Sedan,Varthur,Bellandur,1071.55,7.85
UberXL,BTM Layout,Anekal,111.52,1.54
Non-AC Taxi,Kammanahalli,Basaveshwaranagar,0.0,0.0
Non-AC Taxi,Whitefield,Yeshwanthpur,0.0,0.0
Go Sedan,Hulimavu,Basaveshwaranagar,1526.15,15.49
UberXL,Malleswaram,HSR Layout,1919.51,26.62
Moto,Hennur,Bellandur,0.0,0.0
Uber Go,Hormavu,Shivaji Nagar,1811.83,8.98
Go Sedan,Hulimavu,Bellandur,1044.29,26.48
UberXL,RT Nagar,Hebbal,0.0,0.0
Go Sedan,MG Road,JP Nagar,0.0,0.0
Uber Go,Marathahalli,Kudlu Gate,0.0,0.0
Moto,Kadugodi,Ulsoor,334.1,5.33
eBike,Hormavu,Mahadevapura,0.0,0.0
Uber Go,Marathahalli,MG Road,1554.96,20.54
Moto,Bannerghatta Road,CV Raman Nagar,0.0,0.0
Non-AC Taxi,Shivaji Nagar,Indiranagar,1620.32,19.19
Non-AC Taxi,Whitefield,Domlur,592.44,1.54
eBike,Banashankari,Indiranagar,0.0,0.0
Non-AC Taxi,Ulsoor,Kengeri,0.0,0.0
Go Sedan,Vidyaranyapura,Nagarbhavi,1839.56,23.09
eBike,Sarjapur Road,Kudlu Gate,0.0,0.0
Go Sedan,Basaveshwaranagar,Bannerghatta Road,0.0,0.0
UberXL,Vijayanagar,Benson Town,1359.81,11.77
Premier,HSR Layout,Banashankari,626.17,22.93
Premier,Hormavu,CV Raman Nagar,1619.21,21.69
Premier,Banashankari,BTM Layout,0.0,0.0
UberXL,Bannerghatta Road,Whitefield,843.39,27.24
UberXL,Domlur,Basavanagudi,1439.5,18.77
Premier,Malleswaram,Bellandur,1471.58,24.82
Moto,Whitefield,Devanahalli,740.66,20.89
Non-AC Taxi,Marathahalli,KR Puram,499.27,11.85
Moto,Malleswaram,Cox Town,1135.21,23.87
Moto,Hennur,Cox Town,1394.73,26.99
eBike,Kudlu Gate,Hosur Road,0.0,0.0
UberXL,Hennur,Basaveshwaranagar,0.0,0.0
eBike,Devanahalli,Cox Town,551.1,2.42
Moto,HSR Layout,Nagarbhavi,882.17,14.77
Moto,HSR Layout,Bannerghatta Road,0.0,0.0
Premier,Dasarahalli,Marathahalli,808.02,29.03
eBike,JP Nagar,Devanahalli,1870.14,23.78
UberXL,Whitefield,Bannerghatta Road,468.1,13.01
UberXL,Hebbal,Sadashivanagar,1672.42,29.24
eBike,Hormavu,Nagarbhavi,1691.57,11.41
eBike,Mahadevapura,CV Raman Nagar,949.11,7.48
Moto,Vijayanagar,Bellandur,1238.82,25.54
UberXL,Yeshwanthpur,Magadi Road,0.0,0.0
eBike,MG Road,Indiranagar,517.81,7.94
eBike,Koramangala,MG Road,0.0,0.0
Uber Go,Domlur,Bellandur,1294.59,9.81
Go Sedan,Basaveshwaranagar,Sadashivanagar,486.74,26.09
Go Sedan,Cox Town,Sadashivanagar,90.13,25.49
eBike,Kammanahalli,HSR Layout,0.0,0.0
eBike,Sadashivanagar,Domlur,1130.49,21.76
Uber Go,Vidyaranyapura,Richmond Town,1699.51,12.74
eBike,KR Puram,MG Road,951.65,27.28
UberXL,Hulimavu,Kengeri,0.0,0.0
Moto,Banashankari,Electronic City,0.0,0.0
Non-AC Taxi,Indiranagar,Magadi Road,688.59,11.05
eBike,Hulimavu,Kammanahalli,1865.12,26.64
Premier,Hennur,Hennur,452.3,12.01
Moto,JP Nagar,Shivaji Nagar,1131.63,11.54
Go Sedan,Mahadevapura,JP Nagar,442.44,21.89
Moto,Basavanagudi,JP Nagar,384.71,13.8
Non-AC Taxi,Dasarahalli,Vidyaranyapura,0.0,0.0
Non-AC Taxi,Hebbal,Bannerghatta Road,757.07,25.78
Moto,Domlur,Sarjapur Road,0.0,0.0
eBike,BTM Layout,Hormavu,327.39,19.04
Moto,Frazer Town,Banashankari,0.0,0.0
Premier,Sarjapur Road,Kadugodi,412.44,3.91
Uber Go,Yelahanka,RT Nagar,637.66,23.52
Premier,Sarjapur Road,Vidyaranyapura,242.55,4.08
Moto,Banashankari,Vijayanagar,424.77,12.11
Uber Go,BTM Layout,Yeshwanthpur,1009.56,1.35
eBike,Basavanagudi,Marathahalli,1466.19,28.9
UberXL,Magadi Road,JP Nagar,1403.22,5.03
Moto,Koramangala,Jayanagar,1889.08,11.49
UberXL,Bannerghatta Road,Rajajinagar,918.4,19.89
UberXL,RT Nagar,Varthur,0.0,0.0
UberXL,Magadi Road,KR Puram,1671.63,11.35
UberXL,Marathahalli,KR Puram,0.0,0.0
Go Sedan,Kammanahalli,Sadashivanagar,1339.38,20.98
Premier,Dasarahalli,KR Puram,0.0,0.0
Moto,Dasarahalli,Basaveshwaranagar,608.38,27.3
eBike,RT Nagar,Jayanagar,482.55,16.75
UberXL,Rajajinagar,Sarjapur Road,0.0,0.0
UberXL,Kammanahalli,Domlur,437.82,8.99
Uber Go,MG Road,CV Raman Nagar,0.0,0.0
Premier,Ulsoor,Malleswaram,1179.62,23.75
Go Sedan,JP Nagar,Kengeri,1014.52,13.79
UberXL,Hennur,Ulsoor,388.04,26.54
Moto,MG Road,Richmond Town,621.08,5.92
Moto,Magadi Road,Hennur,256.38,17.85
Go Sedan,Whitefield,Koramangala,1007.41,2.92
Moto,Rajajinagar,Vidyaranyapura,0.0,0.0
Go Sedan,Frazer Town,Banashankari,153.46,21.15
Moto,Domlur,Bannerghatta Road,0.0,0.0
Moto,Richmond Town,Cox Town,0.0,0.0
Moto,Bellandur,Dasarahalli,1136.12,10.57
Uber Go,HSR Layout,Jayanagar,1643.42,10.59
Premier,Shivaji Nagar,Frazer Town,0.0,0.0
Premier,Banashankari,Yeshwanthpur,1820.39,16.12
Go Sedan,HSR Layout,Yelahanka,0.0,0.0
Moto,CV Raman Nagar,Bannerghatta Road,1196.46,15.97
Uber Go,Malleswaram,Frazer Town,0.0,0.0
UberXL,Hulimavu,Devanahalli,1716.62,13.17
UberXL,Hulimavu,Whitefield,219.32,3.04
UberXL,Malleswaram,CV Raman Nagar,0.0,0.0
Go Sedan,Malleswaram,Basaveshwaranagar,1577.75,8.04
Non-AC Taxi,Richmond Town,JP Nagar,0.0,0.0
Go Sedan,Benson Town,Dasarahalli,825.29,28.53
Non-AC Taxi,Bellandur,Anekal,0.0,0.0
Premier,Jayanagar,Vijayanagar,120.71,4.46
eBike,Yeshwanthpur,Marathahalli,0.0,0.0
eBike,Frazer Town,Hulimavu,1060.11,2.63
eBike,Anekal,Basavanagudi,0.0,0.0
Go Sedan,HSR Layout,Kengeri,609.29,8.36
Moto,Frazer Town,Vijayanagar,0.0,0.0
UberXL,Richmond Town,Basavanagudi,417.9,22.43
eBike,Richmond Town,Hosur Road,0.0,0.0
Uber Go,Varthur,Hebbal,0.0,0.0
Go Sedan,Bommanahalli,Domlur,0.0,0.0
Premier,Nagarbhavi,Bellandur,963.02,1.84
Uber Go,BTM Layout,Kammanahalli,130.1,15.79
Go Sedan,Marathahalli,Bommanahalli,1536.52,17.2
eBike,Electronic City,Magadi Road,247.36,13.66
Non-AC Taxi,Sadashivanagar,Hulimavu,1490.54,24.15
Uber Go,Basaveshwaranagar,Cox Town,0.0,0.0
UberXL,RT Nagar,Sarjapur Road,1555.41,8.53
eBike,Dasarahalli,Electronic City,0.0,0.0
UberXL,Hebbal,Devanahalli,0.0,0.0
Moto,Koramangala,Mahadevapura,0.0,0.0
eBike,Mahadevapura,Marathahalli,0.0,0.0
UberXL,Malleswaram,Bommanahalli,532.32,8.69
Premier,Mahadevapura,MG Road,57.85,5.55
Moto,Devanahalli,Benson Town,1341.04,9.83
Moto,Anekal,Vijayanagar,0.0,0.0
Uber Go,Dasarahalli,JP Nagar,0.0,0.0
Uber Go,Devanahalli,Magadi Road,1471.89,19.13
Moto,BTM Layout,Koramangala,927.16,7.49
Uber Go,Frazer Town,Jayanagar,1478.45,4.11
Premier,Kengeri,Electronic City,250.48,1.02
Go Sedan,JP Nagar,Shivaji Nagar,0.0,0.0
UberXL,Kudlu Gate,Kadugodi,0.0,0.0
eBike,Mahadevapura,Vidyaranyapura,0.0,0.0
Moto,Richmond Town,HSR Layout,0.0,0.0
Go Sedan,BTM Layout,Vijayanagar,1028.11,6.47
Uber Go,Bellandur,Malleswaram,1866.21,21.82
Moto,Nagarbhavi,Malleswaram,1882.7,1.58
UberXL,Mahadevapura,Domlur,1257.31,2.92
Premier,Varthur,KR Puram,1679.99,13.36
Non-AC Taxi,Benson Town,Whitefield,1991.78,9.94
Uber Go,KR Puram,Dasarahalli,77.11,22.06
Go Sedan,Devanahalli,Hosur Road,1054.5,4.7
Premier,BTM Layout,Whitefield,1350.99,10.81
eBike,Yelahanka,Kammanahalli,0.0,0.0
Moto,Jayanagar,Indiranagar,1367.42,11.82
eBike,Banashankari,Rajajinagar,1549.15,27.72
Premier,Bannerghatta Road,Bommanahalli,180.88,5.39
Uber Go,Hormavu,Marathahalli,0.0,0.0
UberXL,Banashankari,Basavanagudi,508.83,22.49
Premier,Koramangala,Kengeri,0.0,0.0
Non-AC Taxi,MG Road,Marathahalli,65.67,19.96
Non-AC Taxi,Mahadevapura,Hormavu,812.4,6.03
Non-AC Taxi,Devanahalli,KR Puram,1668.54,7.49
Uber Go,KR Puram,Magadi Road,1980.23,6.98
Go Sedan,Kadugodi,Kengeri,788.39,12.33
Go Sedan,Frazer Town,Benson Town,0.0,0.0
Moto,Benson Town,Ulsoor,1422.76,20.46
Moto,Sarjapur Road,Anekal,0.0,0.0
Non-AC Taxi,Richmond Town,Ulsoor,166.54,3.41
Uber Go,Frazer Town,Domlur,508.89,24.26
Uber Go,BTM Layout,BTM Layout,0.0,0.0
Non-AC Taxi,Hormavu,Bannerghatta Road,0.0,0.0
Non-AC Taxi,HSR Layout,Basavanagudi,0.0,0.0
UberXL,Electronic City,Jayanagar,862.11,9.11
Go Sedan,KR Puram,Rajajinagar,0.0,0.0
Go Sedan,Nagarbhavi,Whitefield,0.0,0.0
UberXL,Rajajinagar,Hebbal,0.0,0.0
Uber Go,KR Puram,Malleswaram,0.0,0.0
Go Sedan,Marathahalli,Jayanagar,1624.33,18.7
Premier,RT Nagar,Bellandur,1023.94,11.95
UberXL,Benson Town,Rajajinagar,980.91,20.84
UberXL,Basavanagudi,Rajajinagar,274.88,23.72
Non-AC Taxi,MG Road,Kudlu Gate,0.0,0.0
Premier,Kengeri,Bommanahalli,965.06,21.76
Uber Go,Kudlu Gate,Dasarahalli,1757.34,16.47
Uber Go,Frazer Town,Kadugodi,794.64,19.34
Non-AC Taxi,Whitefield,Richmond Town,0.0,0.0
Moto,KR Puram,Bannerghatta Road,651.81,19.05
Moto,Devanahalli,Benson Town,823.21,10.88
UberXL,Benson Town,Lingarajapuram,0.0,0.0
Uber Go,Richmond Town,Yelahanka,355.17,9.07
Go Sedan,Bellandur,Kengeri,0.0,0.0
Premier,Devanahalli,Vidyaranyapura,0.0,0.0
UberXL,Dasarahalli,Indiranagar,1669.23,1.6
Uber Go,Lingarajapuram,Whitefield,1941.01,19.42
Non-AC Taxi,Hulimavu,Hormavu,362.7,24.3
Premier,Whitefield,Ulsoor,800.67,9.08
Moto,Bellandur,RT Nagar,1629.5,4.28
Uber Go,Indiranagar,Domlur,1696.64,1.01
Uber Go,Whitefield,KR Puram,0.0,0.0
eBike,MG Road,Malleswaram,0.0,0.0
Premier,Nagarbhavi,BTM Layout,1628.29,4.0
Uber Go,KR Puram,Rajajinagar,0.0,0.0
Non-AC Taxi,Hosur Road,Richmond Town,0.0,0.0
UberXL,HSR Layout,Kudlu Gate,448.94,14.5
Go Sedan,Kudlu Gate,Sadashivanagar,0.0,0.0
Go Sedan,Jayanagar,Yeshwanthpur,660.96,25.67
Premier,MG Road,Bannerghatta Road,708.31,9.1
Moto,Basaveshwaranagar,Basavanagudi,0.0,0.0
Uber Go,MG Road,KR Puram,1466.23,13.98
eBike,Kadugodi,Yeshwanthpur,0.0,0.0
eBike,Domlur,Sadashivanagar,0.0,0.0
Premier,Malleswaram,Dasarahalli,1945.74,5.5
Moto,Yelahanka,HSR Layout,0.0,0.0
Premier,Lingarajapuram,Dasarahalli,0.0,0.0
Moto,Sadashivanagar,JP Nagar,316.32,5.69
UberXL,KR Puram,Rajajinagar,1832.7,7.8
Go Sedan,MG Road,Devanahalli,225.76,29.68
Uber Go,Kadugodi,Magadi Road,645.29,3.09
UberXL,HSR Layout,Hennur,790.64,16.08
Premier,Sadashivanagar,Varthur,0.0,0.0
Premier,Shivaji Nagar,Rajajinagar,0.0,0.0
Moto,Nagarbhavi,Basavanagudi,0.0,0.0
eBike,Indiranagar,Anekal,195.35,17.88
eBike,Lingarajapuram,Varthur,1026.41,21.92
Moto,Devanahalli,Rajajinagar,0.0,0.0
Non-AC Taxi,Lingarajapuram,Varthur,1949.13,27.1
Premier,Jayanagar,Dasarahalli,1644.83,14.41
Premier,Jayanagar,Malleswaram,0.0,0.0
Moto,BTM Layout,Vidyaranyapura,420.85,21.35
eBike,Basaveshwaranagar,Bellandur,0.0,0.0
eBike,Hebbal,Malleswaram,1570.3,22.63
Uber Go,Malleswaram,Banashankari,1558.15,13.51
eBike,HSR Layout,Kammanahalli,1527.93,19.43
Premier,Richmond Town,JP Nagar,1130.79,18.54
Premier,Hosur Road,Hebbal,548.34,18.53
eBike,Marathahalli,Benson Town,0.0,0.0
Premier,Kengeri,Bommanahalli,0.0,0.0
Uber Go,Indiranagar,JP Nagar,0.0,0.0
Moto,Rajajinagar,Hennur,1133.99,3.6
Non-AC Taxi,Banashankari,Bommanahalli,443.8,27.96
Uber Go,Vidyaranyapura,Devanahalli,0.0,0.0
UberXL,Electronic City,Nagarbhavi,1236.04,28.72
Go Sedan,Bannerghatta Road,Devanahalli,96.39,17.01
Uber Go,Basaveshwaranagar,Kadugodi,1990.31,21.24
Non-AC Taxi,Cox Town,Kadugodi,0.0,0.0
Uber Go,Hennur,MG Road,0.0,0.0
Uber Go,Basaveshwaranagar,Marathahalli,497.96,23.15
Non-AC Taxi,Bommanahalli,Bannerghatta Road,1156.95,17.63
Non-AC Taxi,Indiranagar,Vidyaranyapura,54.26,5.55
Uber Go,Domlur,Rajajinagar,1247.58,7.66
Moto,Kudlu Gate,MG Road,1367.15,9.87
Moto,Richmond Town,Whitefield,995.57,10.82
Premier,Koramangala,Kudlu Gate,0.0,0.0
Premier,Mahadevapura,Sarjapur Road,0.0,0.0
eBike,Bellandur,Nagarbhavi,0.0,0.0
Uber Go,Frazer Town,Kadugodi,733.95,11.57
UberXL,Hosur Road,Kudlu Gate,0.0,0.0
Moto,Vijayanagar,Banashankari,0.0,0.0
UberXL,Bellandur,JP Nagar,0.0,0.0
eBike,Yeshwanthpur,Benson Town,0.0,0.0
Non-AC Taxi,CV Raman Nagar,Banashankari,0.0,0.0
Moto,Basavanagudi,Kadugodi,0.0,0.0
Go Sedan,Devanahalli,Cox Town,0.0,0.0
Moto,Koramangala,HSR Layout,185.19,1.83
eBike,Kengeri,Kudlu Gate,1669.97,6.61
